id_usuario,correo_electronico,contrasena,nombre,numero_movil,ubicacion,basura_papel,basura_plastico,basura_resto,basura_organico,basura_cristal,no_recicla,edad,genero,estado_civil,hijos,tipo_vivienda,nivel_estudios,profesion,creado_en,actualizado_en
28,amado49@example.org,+1_SJrc51L,Amalia Cabo Cortes,+34926 00 05 75,Barcelona,1,1,0,1,0,0,27,femenino,soltero/soltera,0,chalet,educación secundaria,ingeniero/a,2021-04-02 00:00:00,2021-08-15 00:00:00
29,calvaro@example.com,p(18NEtUkC,Augusto Padilla,+34 886 61 02 93,Barcelona,0,1,1,0,0,0,78,masculino,viudo/viuda,4,piso,sin estudios,trabajador/a social,2021-01-01 00:00:00,2021-09-24 00:00:00
30,casemirocervera@example.com,*JUqwvoou6,Quirino Córdoba Mendoza,+34847 535 168,Barcelona,1,1,1,1,1,0,27,masculino,soltero/soltera,0,piso,universidad(licenciatura/grado),programador/a,2021-06-03 00:00:00,2021-10-10 00:00:00
31,juandemetrio@example.com,eGlQ@5Zq(P,Macario Almeida Vicente,+34 887 90 96 16,Barcelona,1,1,0,0,0,0,28,femenino,soltero/soltera,0,piso,bachillerato,periodista,2021-01-01 00:00:00,2021-06-05 00:00:00
32,oscar53@example.com,OE4BkgsL(H,Lalo Segarra-Amador,+34886 810 765,Barcelona,1,1,1,0,0,0,29,masculino,soltero/soltera,0,apartamento,doctorado,otro,2021-03-28 00:00:00,2021-05-10 00:00:00
33,donatogrande@example.net,Vd#5FU0pXT,Salvador de Amat,+34971 53 11 43,Barcelona,1,1,0,1,0,0,24,femenino,soltero/soltera,0,apartamento,educación secundaria,comerciante,2021-05-06 00:00:00,2021-09-04 00:00:00
34,alcaraznadia@example.com,)QRKNGD^u5,Olegario Poza Fuster,+34973 67 44 75,Barcelona,1,1,1,0,0,0,43,femenino,casado/casada,1,piso,universidad(licenciatura/grado),ingeniero/a,2021-02-24 00:00:00,2021-09-29 00:00:00
35,larranagaevelia@example.com,rR7&3TQo7n,Rubén Girón Alcaraz,+34847 635 944,Barcelona,1,1,0,0,0,0,70,masculino,viudo/viuda,1,apartamento,universidad(licenciatura/grado),comerciante,2021-11-01 00:00:00,2021-11-21 00:00:00
36,ajimenez@example.org,i3r6ExuN#Z,Alfredo Nebot Báez,+34 956 069 961,Barcelona,1,1,1,0,0,0,58,femenino,soltero/soltera,0,piso,universidad(licenciatura/grado),artista,2021-05-22 00:00:00,2021-12-04 00:00:00
37,eaguado@example.com,@qP0+2sd8q,Raúl Botella Sandoval,+34 826 277 059,Barcelona,1,1,0,1,0,0,24,femenino,soltero/soltera,0,apartamento,educación primaria,arquitecto/a,2021-04-29 00:00:00,2021-08-05 00:00:00
38,figuerasaroa@example.org,*WKm9irp3!,Modesta Vara Macias,+34947 61 58 07,Barcelona,1,1,0,0,0,0,28,masculino,soltero/soltera,0,piso,universidad(licenciatura/grado),agricultor/a,2021-01-11 00:00:00,2021-11-01 00:00:00
39,fonsecafabricio@example.net,(4Gr6Zs7OG,Alejandra Sancho Jurado,+34849 84 68 51,Barcelona,1,0,1,1,0,0,74,femenino,separado/separada,4,apartamento,universidad(licenciatura/grado),empresario/a,2021-04-23 00:00:00,2021-07-01 00:00:00
40,lopesalamanca@example.net,R3cWbCf!%N,Amando de Múñiz,+34 973 638 556,Barcelona,1,0,1,0,0,0,22,femenino,soltero/soltera,0,loft,técnico o formación profesional,estudiante,2021-10-31 00:00:00,2021-12-06 00:00:00
41,nidianicolas@example.net,J5b(UYnB^d,Gerónimo Victor Quevedo Portero,+34851 90 55 64,Barcelona,1,0,1,0,0,0,24,femenino,soltero/soltera,0,piso,bachillerato,estudiante,2021-05-23 00:00:00,2021-12-01 00:00:00
42,olivaresandres@example.net,C4TAsj53+1,Alexandra Uría Girona,+34828879185,Barcelona,1,1,0,1,1,0,19,femenino,soltero/soltera,0,piso,universidad(licenciatura/grado),artista,2021-01-21 00:00:00,2021-02-05 00:00:00
43,loretopeiro@example.net,Dsz0DZTst*,Lina Salom Conesa,+34885 015 119,Barcelona,1,0,0,0,0,0,37,masculino,casado/casada,2,piso,técnico o formación profesional,artista,2021-11-07 00:00:00,2021-12-24 00:00:00
44,uortega@example.org,x+R4ZKAoF8,Carmela Zamora Gutierrez,+34873 001 802,Barcelona,1,1,0,0,0,0,71,femenino,viudo/viuda,1,piso,universidad(licenciatura/grado),artista,2021-05-05 00:00:00,2021-05-31 00:00:00
45,xmadrid@example.com,)Z0FB^*kN+,Guillermo Rogelio Tur Leal,+34 972001634,Barcelona,1,1,1,1,0,0,32,masculino,casado/casada,2,piso,técnico o formación profesional,comerciante,2021-11-28 00:00:00,2021-12-19 00:00:00
46,xcalderon@example.net,)L2RmCOfA^,Eloy Valero Ibarra,+34803 23 25 87,Barcelona,0,1,0,0,0,0,66,femenino,separado/separada,1,piso,universidad(licenciatura/grado),artista,2021-05-19 00:00:00,2021-10-23 00:00:00
47,ninoruben@example.org,*x#2G11yWT,Elodia Higueras Elías,+34 882 174 502,Barcelona,1,1,0,1,0,0,24,masculino,soltero/soltera,0,piso,técnico o formación profesional,empresario/a,2021-10-19 00:00:00,2021-12-06 00:00:00
48,migueljoan@example.net,$w9FuQxjVF,Primitiva Prado Suárez,+34 981238925,Barcelona,1,1,0,0,0,0,24,femenino,soltero/soltera,0,piso,técnico o formación profesional,contador/a,2021-02-13 00:00:00,2021-06-16 00:00:00
49,abrilselena@example.com,Nf^Tx4Bz(C,Felicidad Pizarro Valencia,+34880723533,Barcelona,1,1,1,1,1,0,30,masculino,soltero/soltera,0,piso,universidad(licenciatura/grado),ingeniero/a,2021-12-06 00:00:00,2021-12-24 00:00:00
50,torrensligia@example.net,$qV)qwyJO8,Alfonso Pujol Serna,+34 844 35 51 72,Barcelona,1,1,1,0,0,0,27,femenino,soltero/soltera,0,piso,bachillerato,contador/a,2021-06-11 00:00:00,2021-07-11 00:00:00
51,pramirez@example.net,)7yX)U$hP@,Ágata Guerra-Mariscal,+34879 17 82 41,Barcelona,1,1,0,1,0,0,25,femenino,soltero/soltera,0,apartamento,bachillerato,programador/a,2021-04-02 00:00:00,2021-09-03 00:00:00
52,candelariarodriguez@example.com,@LFH2MqqW6,Trini Goñi Nieto,+34980 140 185,Barcelona,0,1,1,0,0,0,40,masculino,casado/casada,0,apartamento,técnico o formación profesional,abogado/a,2021-09-03 00:00:00,2021-10-29 00:00:00
53,llanosvito@example.org,_xZeyyais1,Seve Castellanos,+34 849 72 04 27,Barcelona,1,1,1,0,0,0,19,femenino,soltero/soltera,0,piso,universidad(licenciatura/grado),administrativo/a,2021-03-18 00:00:00,2021-12-31 00:00:00
54,juliandaza@example.com,n!3OGo9m9P,Victorino Mosquera,+34807 800 379,Barcelona,1,0,0,0,0,0,33,masculino,casado/casada,1,chalet,bachillerato,investigador/a,2021-08-08 00:00:00,2021-10-25 00:00:00
55,luisina51@example.org,5*7XBamhEu,Rubén Vicente Godoy Camino,+34 823873861,Barcelona,1,0,0,1,1,0,34,femenino,soltero/soltera,0,piso,técnico o formación profesional,asistente administrativo/a,2021-01-02 00:00:00,2021-07-30 00:00:00
56,qchamorro@example.org,o2tE8L)z$f,Javiera Iglesia-Villa,+34979 857 300,Barcelona,1,1,0,1,0,0,41,femenino,soltero/soltera,0,chalet,universidad(licenciatura/grado),artista,2021-10-29 00:00:00,2021-11-23 00:00:00
57,inigo12@example.org,9*xOAv#x!S,Jordana Alemany,+34926 23 18 78,Barcelona,1,1,1,1,0,0,19,masculino,soltero/soltera,0,piso,universidad(licenciatura/grado),ingeniero/a,2021-08-13 00:00:00,2021-09-13 00:00:00
58,tere11@example.org,T!Py5Xdb@),Adelardo Echevarría Novoa,+34 919989203,Barcelona,1,1,0,0,0,0,29,masculino,soltero/soltera,0,piso,técnico o formación profesional,fontanero/a,2021-02-16 00:00:00,2021-06-13 00:00:00
59,isaac41@example.net,*(7hpTva*D,Gala Escamilla-Nogueira,+34825523138,Barcelona,1,1,1,1,0,0,37,femenino,soltero/soltera,0,piso,universidad(licenciatura/grado),diseñador/a,2021-04-03 00:00:00,2021-11-12 00:00:00
60,salvaascension@example.com,#z#7dKe(uy,Demetrio Iñiguez Aguiló,+34 967935618,Barcelona,1,1,0,0,0,0,37,masculino,casado/casada,1,piso,bachillerato,estudiante,2021-10-09 00:00:00,2021-10-13 00:00:00
61,efrainbenavent@example.com,YAECFT0k#0,Concha Luciana Fuertes Quintanilla,+34 974 149 295,Barcelona,1,1,1,0,0,0,31,masculino,casado/casada,1,piso,técnico o formación profesional,artista,2021-09-13 00:00:00,2021-12-02 00:00:00
62,luisguerrero@example.com,7ZbpW&6r*3,Bárbara Bertrán Montalbán,+34824168747,Barcelona,1,0,0,0,0,0,65,femenino,casado/casada,0,loft,técnico o formación profesional,diseñador/a,2021-12-30 00:00:00,2021-12-30 00:00:00
63,checaleire@example.net,B*x1^YZw@d,Hernán Pablo Requena,+34974569025,Barcelona,1,0,0,1,0,0,20,masculino,soltero/soltera,0,piso,universidad(licenciatura/grado),abogado/a,2021-12-28 00:00:00,2021-12-30 00:00:00
64,ichamorro@example.org,p9M7hbru&w,Ofelia Cordero Sanmiguel,+34 983 372 091,Barcelona,1,1,0,0,0,0,22,masculino,soltero/soltera,0,piso,universidad(licenciatura/grado),estudiante,2021-06-24 00:00:00,2021-10-31 00:00:00
65,murilloalex@example.org,fF^V5Owrp%,Eliseo Olivé Olivares,+34814546929,Barcelona,1,0,1,0,1,0,35,masculino,casado/casada,2,piso,bachillerato,periodista,2021-07-13 00:00:00,2021-11-06 00:00:00
66,brunildadominguez@example.org,5eqBXYpZ&3,Atilio Urrutia-Merino,+34 876 758 796,Barcelona,1,1,0,0,1,0,61,femenino,casado/casada,1,apartamento,universidad(licenciatura/grado),programador/a,2021-07-17 00:00:00,2021-12-30 00:00:00
67,diana81@example.com,&DSEb2mln#,Juana Téllez-Blanes,+34 978205155,Barcelona,1,1,0,0,0,0,63,femenino,casado/casada,2,chalet,sin estudios,arquitecto/a,2021-07-29 00:00:00,2021-09-06 00:00:00
68,palmira80@example.com,*l!z8Ec*3F,María Belén Núñez Ángel,+34 823 75 46 56,Barcelona,0,1,1,0,0,0,20,femenino,soltero/soltera,0,loft,técnico o formación profesional,abogado/a,2021-10-05 00:00:00,2021-10-09 00:00:00
69,efajardo@example.com,htAPY9CR(7,Adela Torrecilla Farré,+34 988 311 646,Barcelona,1,1,0,0,0,0,20,masculino,soltero/soltera,0,piso,universidad(licenciatura/grado),ingeniero/a,2021-01-24 00:00:00,2021-07-09 00:00:00
70,hvalle@example.com,7r(2S+j@8v,Anna Nuñez Borja,+34936 48 07 45,Barcelona,1,1,0,0,0,0,32,masculino,soltero/soltera,0,piso,universidad(licenciatura/grado),investigador/a,2021-12-16 00:00:00,2021-12-23 00:00:00
71,xleon@example.com,_3%HT9z8u$,Catalina Manzanares Cerdá,+34886 70 89 93,Barcelona,1,1,1,0,0,0,36,femenino,casado/casada,2,piso,educación primaria,programador/a,2021-10-28 00:00:00,2021-12-05 00:00:00
72,lilia00@example.com,G)y4Bm%p5f,Maite Grau Cerro,+34 706246657,Barcelona,1,1,1,0,0,0,28,femenino,soltero/soltera,0,piso,técnico o formación profesional,investigador/a,2021-06-01 00:00:00,2021-11-27 00:00:00
73,afernandez@example.net,Jx7%sRMv(s,Calista Badía-Lillo,+34 820574520,Barcelona,1,1,0,0,0,0,39,masculino,casado/casada,1,apartamento,bachillerato,programador/a,2021-04-23 00:00:00,2021-10-02 00:00:00
74,candido59@example.net,&@!8BVAjXz,Ceferino Prat Durán,+34 820457648,Barcelona,0,1,1,1,1,0,21,masculino,soltero/soltera,0,piso,técnico o formación profesional,investigador/a,2021-07-06 00:00:00,2021-08-08 00:00:00
75,nflor@example.org,d!1YR2Us_8,Roxana Olivares Valle,+34942 29 32 27,Barcelona,0,1,0,0,1,0,32,femenino,casado/casada,0,piso,universidad(licenciatura/grado),empresario/a,2021-06-01 00:00:00,2021-12-09 00:00:00
76,rodrigocarolina@example.com,5og_uOQn!1,Serafina Garcia Prado,+34 846 98 02 94,Barcelona,1,1,0,1,0,0,23,femenino,soltero/soltera,0,piso,técnico o formación profesional,ingeniero/a,2021-10-02 00:00:00,2021-10-17 00:00:00
77,cletopuig@example.org,5Lu+kpVM#k,Petrona Laura Alfonso Bas,+34 980 745 768,Barcelona,1,1,0,1,0,0,73,masculino,separado/separada,1,piso,técnico o formación profesional,periodista,2021-06-17 00:00:00,2021-11-20 00:00:00
78,alcidesvicens@example.org,!1Ny^*Vvp7,Isaac Carvajal Esteve,+34 928 30 33 45,Barcelona,1,0,1,0,1,0,28,masculino,soltero/soltera,0,chalet,bachillerato,abogado/a,2021-03-01 00:00:00,2021-04-19 00:00:00
79,hpalacios@example.com,$8CFDrC!97,José Mari Cerezo-Garrido,+34714 083 696,Barcelona,1,1,0,1,0,0,40,femenino,soltero/soltera,0,piso,universidad(licenciatura/grado),investigador/a,2021-07-28 00:00:00,2021-10-07 00:00:00
80,flormanzano@example.net,!@7yEAlhsq,Araceli Herrero Arellano,+34883 98 24 61,Barcelona,0,1,1,1,0,0,20,femenino,soltero/soltera,0,piso,bachillerato,administrativo/a,2021-08-21 00:00:00,2021-09-13 00:00:00
81,icarrera@example.com,$bNM@$_zg1,Roldán Sancho Tamayo,+34981 302 167,Barcelona,1,1,0,1,0,0,24,masculino,soltero/soltera,0,piso,universidad(licenciatura/grado),asistente administrativo/a,2021-10-28 00:00:00,2021-11-24 00:00:00
82,salinasrosario@example.net,IbeI8KEc@#,Dani Diego Blanes Giménez,+34806 778 779,Barcelona,1,1,1,0,1,0,25,masculino,soltero/soltera,0,piso,universidad(licenciatura/grado),programador/a,2021-12-05 00:00:00,2021-12-05 00:00:00
83,sarabiaelias@example.com,m1TWe+e0(D,Albano Maximiliano Alegria Alcolea,+34874437974,Barcelona,0,1,0,0,1,0,24,masculino,soltero/soltera,0,piso,universidad(licenciatura/grado),empresario/a,2021-08-18 00:00:00,2021-11-18 00:00:00
84,coronadoroxana@example.org,6Q27DPv8L!,Andrés Felipe de Escrivá,+34933 56 17 61,Barcelona,1,0,1,0,0,0,52,femenino,casado/casada,2,loft,educación primaria,abogado/a,2021-07-25 00:00:00,2021-11-11 00:00:00
85,custodio46@example.net,!74XqEzT96,Eugenio Bermejo Vara,+34 971333620,Barcelona,1,1,0,0,1,0,33,masculino,soltero/soltera,0,piso,técnico o formación profesional,otro,2021-06-16 00:00:00,2021-09-21 00:00:00
86,expositoherminia@example.com,S4XDUlwN*W,Lola Sáez López,+34 800638509,Barcelona,1,1,1,0,0,0,41,masculino,casado/casada,1,apartamento,técnico o formación profesional,empresario/a,2021-07-24 00:00:00,2021-11-07 00:00:00
87,josefina62@example.com,Mk$9USNeI2,Ruth Oliver Coll,+34 949805993,Barcelona,1,1,0,1,0,0,39,femenino,soltero/soltera,0,apartamento,educación primaria,administrativo/a,2021-07-10 00:00:00,2021-08-12 00:00:00
88,africa35@example.org,%YK_W)aa%7,Purificación Moreno Olivares,+34974680465,Barcelona,1,1,0,0,0,0,27,femenino,soltero/soltera,0,loft,técnico o formación profesional,programador/a,2021-02-23 00:00:00,2021-12-15 00:00:00
89,nelidaherrera@example.org,fDt1Au6c#Z,Buenaventura Zamora-Cañellas,+34 947147381,Barcelona,1,0,1,0,0,0,32,masculino,casado/casada,2,piso,técnico o formación profesional,periodista,2021-11-15 00:00:00,2021-12-24 00:00:00
90,garridobenigna@example.org,b5HftG(7)Q,Nilo Arroyo Portillo,+34981 529 365,Barcelona,1,1,1,1,0,0,18,femenino,soltero/soltera,0,chalet,técnico o formación profesional,asistente administrativo/a,2021-03-15 00:00:00,2021-12-29 00:00:00
91,marcio86@example.com,dr1G(OnN*v,Borja Lasa Castellanos,+34879 792 444,Barcelona,1,0,1,0,1,0,31,femenino,casado/casada,1,piso,técnico o formación profesional,profesor/a,2021-10-18 00:00:00,2021-10-28 00:00:00
92,pgonzalez@example.org,)0g%UgXhv4,Eugenia Jerez Clavero,+34 848 117 133,Barcelona,1,0,0,0,1,0,29,femenino,soltero/soltera,0,piso,técnico o formación profesional,contador/a,2021-09-20 00:00:00,2021-10-04 00:00:00
93,florentina39@example.net,3+9KLFCO*v,Pedro Torrent Torres,+34860079686,Barcelona,1,0,0,0,0,0,26,masculino,soltero/soltera,0,loft,educación primaria,contador/a,2021-06-04 00:00:00,2021-07-28 00:00:00
94,nicolauvictor-manuel@example.net,%K&m8L5w_y,Patricia Dominguez Figueras,+34927 233 225,Barcelona,1,1,0,0,0,0,29,masculino,soltero/soltera,0,piso,bachillerato,periodista,2021-12-09 00:00:00,2021-12-20 00:00:00
95,sros@example.com,tlg6KSga(6,Lino Saldaña,+34832094618,Barcelona,0,1,0,1,0,0,62,femenino,separado/separada,3,piso,técnico o formación profesional,administrativo/a,2021-07-27 00:00:00,2021-08-01 00:00:00
96,dieguezfeliciana@example.com,K47Mhe$a#U,Benito Anacleto Asenjo Figuerola,+34 923 297 404,Barcelona,1,0,0,1,1,0,27,femenino,soltero/soltera,0,piso,técnico o formación profesional,comerciante,2021-02-10 00:00:00,2021-08-31 00:00:00
97,joel50@example.com,@2ByVvldDO,Pelayo de Ledesma,+34847 585 893,Barcelona,1,1,1,0,0,0,34,masculino,casado/casada,1,piso,universidad(licenciatura/grado),administrativo/a,2021-05-01 00:00:00,2021-05-27 00:00:00
98,luzonofre@example.org,+_m6Anyd4!,Isidoro Piñol Tejedor,+34 927421375,Barcelona,0,0,1,1,0,0,22,femenino,soltero/soltera,0,apartamento,universidad(licenciatura/grado),trabajador/a social,2021-12-15 00:00:00,2021-12-25 00:00:00
99,ortizmerche@example.net,X_7Hh2C9#g,Manuela Angulo Querol,+34 983 505 410,Barcelona,1,1,0,0,0,0,25,femenino,soltero/soltera,0,piso,educación primaria,empresario/a,2021-08-20 00:00:00,2021-08-29 00:00:00
100,reginacabezas@example.net,7(2(Uw9j(P,Fernando Merino Olmedo,+34 807 71 76 66,Barcelona,0,1,1,1,0,0,33,femenino,casado/casada,2,piso,universidad(licenciatura/grado),médico/a,2021-08-19 00:00:00,2021-10-06 00:00:00
101,amayahilario@example.com,&XIe6nFj#f,Trinidad Suarez Villena,+34 876 541 092,Barcelona,1,1,0,0,0,0,67,femenino,separado/separada,0,piso,educación secundaria,diseñador/a,2021-12-29 00:00:00,2021-12-30 00:00:00
102,alfonsoguzman@example.net,oTti7XMzb(,Aura Botella Moles,+34 976 435 391,Barcelona,1,1,0,1,0,0,28,femenino,soltero/soltera,0,apartamento,técnico o formación profesional,jardinero/a,2021-06-18 00:00:00,2021-07-12 00:00:00
103,bjove@example.com,^_7!VWUq^g,Inés Quintana Sola,+34 886 784 997,Barcelona,1,1,1,1,0,0,33,masculino,casado/casada,0,piso,educación secundaria,programador/a,2021-06-08 00:00:00,2021-11-22 00:00:00
104,bernalcloe@example.net,Q0xVpUfL+P,Luz Cadenas-Páez,+34 976 998 475,Barcelona,1,1,1,0,0,0,27,femenino,soltero/soltera,0,piso,universidad(licenciatura/grado),otro,2021-12-17 00:00:00,2021-12-31 00:00:00
105,tovarjulian@example.org,J1ZHD*ai$6,Magdalena Baró-Beltran,+34 980197761,Barcelona,1,1,0,0,0,0,22,masculino,soltero/soltera,0,loft,técnico o formación profesional,diseñador/a,2021-03-12 00:00:00,2021-05-30 00:00:00
106,juanitovillalobos@example.org,qLeCBNhM)5,Poncio Chaparro-Losada,+34845 005 657,Barcelona,0,1,1,1,0,0,65,masculino,separado/separada,2,apartamento,técnico o formación profesional,artista,2021-07-12 00:00:00,2021-08-20 00:00:00
107,rubencarbonell@example.net,b&6cVcw%+P,Kike Arévalo Mate,+34 806950911,Barcelona,0,1,1,0,1,0,29,femenino,soltero/soltera,0,piso,bachillerato,empresario/a,2021-11-09 00:00:00,2021-11-27 00:00:00
108,torrensmontserrat@example.net,)9cfIdyqFO,Fidela Diego,+34 873 706 126,Barcelona,1,1,0,1,0,0,52,masculino,casado/casada,2,chalet,doctorado,trabajador/a social,2021-05-25 00:00:00,2021-12-10 00:00:00
109,manceboursula@example.org,19DPtXTd%h,Ale Luis Ángel Muñoz Ordóñez,+34807 82 73 74,Barcelona,1,1,1,1,1,0,21,femenino,soltero/soltera,0,piso,universidad(licenciatura/grado),comerciante,2021-02-22 00:00:00,2021-11-13 00:00:00
110,aitana24@example.org,56XxCzme!K,Duilio Enríquez-Moraleda,+34 841 79 34 08,Barcelona,1,1,0,1,1,0,21,femenino,soltero/soltera,0,chalet,bachillerato,empresario/a,2021-06-28 00:00:00,2021-07-04 00:00:00
111,qpalmer@example.com,+%4QjyVZ_n,Julián Quevedo-Mercader,+34 874914431,Barcelona,1,1,0,0,0,0,23,femenino,soltero/soltera,0,apartamento,técnico o formación profesional,arquitecto/a,2021-03-12 00:00:00,2021-03-31 00:00:00
